method|timestamp|throughput|duration(ns)|noTuples|noPartitions|noThreads
Independent|2022-03-23 19:50:40|1145314.46|14648567334|16777216|4|4
Concurrent|2022-03-23 19:51:07|1331794.35|12597452435|16777216|4|4
Independent|2022-03-23 19:52:32|980804.78|17105560976|16777216|6|4
Concurrent|2022-03-23 19:53:01|1066683.68|15728389108|16777216|6|4
Independent|2022-03-23 19:54:32|1146920.07|14628060287|16777216|8|4
Concurrent|2022-03-23 19:55:04|1144652.07|14657044249|16777216|8|4
Independent|2022-03-23 19:56:18|1340505.8|12515586312|16777216|10|4
Concurrent|2022-03-23 19:56:43|1223765.09|13709506967|16777216|10|4
Independent|2022-03-23 19:58:15|1062491.43|15790448368|16777216|12|4
Concurrent|2022-03-23 19:58:48|1103420.05|15204740954|16777216|12|4
Independent|2022-03-23 20:00:20|1016158.44|16510433149|16777216|14|4
Concurrent|2022-03-23 20:00:55|1082032.37|15505281112|16777216|14|4
Independent|2022-03-23 20:02:30|1078671.49|15553591760|16777216|16|4
Concurrent|2022-03-23 20:02:56|1146290.31|14636096820|16777216|16|4
Independent|2022-03-23 20:04:20|1224869.48|13697145902|16777216|18|4
Concurrent|2022-03-23 20:04:45|1267223.16|13239353950|16777216|18|4
Independent|2022-03-23 20:06:16|1150285.64|14585260769|16777216|1|8
Concurrent|2022-03-23 20:06:46|1405740.21|11934791250|16777216|1|8
Independent|2022-03-23 20:08:16|1115754.46|15036655984|16777216|2|8
Concurrent|2022-03-23 20:08:46|1308143.02|12825215359|16777216|2|8
Independent|2022-03-23 20:10:11|1102880.09|15212185085|16777216|4|8
Concurrent|2022-03-23 20:10:40|1348637.75|12440120373|16777216|4|8
Independent|2022-03-23 20:12:07|1108663.54|15132829161|16777216|6|8
Concurrent|2022-03-23 20:12:38|1260274.35|13312352238|16777216|6|8
Independent|2022-03-23 20:14:11|1377676.27|12177908805|16777216|8|8
Concurrent|2022-03-23 20:14:36|1545115.42|10858228331|16777216|8|8
Independent|2022-03-23 20:15:47|1284266.87|13063652415|16777216|10|8
Concurrent|2022-03-23 20:16:13|1287622.78|13029604855|16777216|10|8
Independent|2022-03-23 20:17:41|1470375.13|11410160373|16777216|12|8
Concurrent|2022-03-23 20:18:05|1387647.68|12090400313|16777216|12|8
Independent|2022-03-23 20:19:36|1065870.15|15740393825|16777216|14|8
Concurrent|2022-03-23 20:20:07|1419266.83|11821044216|16777216|14|8
Independent|2022-03-23 20:21:24|1263101.79|13282552671|16777216|16|8
Concurrent|2022-03-23 20:21:50|1402330.53|11963809954|16777216|16|8
Independent|2022-03-23 20:23:06|1222307.2|13725858793|16777216|18|8
Concurrent|2022-03-23 20:23:34|1653081.08|10149058164|16777216|18|8
