method|timestamp|throughput|duration(ms)|noTuples|noPartitions|noThreads
Independent|2022-03-01 11:09:25|435042.8568920735|38.564513206481934|16777216|2|3
Concurrent|2022-03-01 11:10:01|464092.17852729245|36.15061140060425|16777216|2|3
Independent|2022-03-01 11:10:46|415046.8766428706|40.42246055603027|16777216|4|3
Concurrent|2022-03-01 11:11:23|447816.89300001087|37.464455366134644|16777216|4|3
Independent|2022-03-01 11:12:08|421781.4499765046|39.77703619003296|16777216|6|3
Concurrent|2022-03-01 11:12:47|426497.1406402844|39.33722972869873|16777216|6|3
Independent|2022-03-01 13:24:37|690093.923367571|24.31149649620056|16777216|2|2
Concurrent|2022-03-01 13:25:23|658607.8794874137|25.473755359649658|16777216|2|2
Independent|2022-03-01 13:26:18|513672.11365184834|32.661333084106445|16777216|4|2
Concurrent|2022-03-01 13:27:02|695838.6806693227|24.11078381538391|16777216|4|2
Independent|2022-03-01 13:27:49|677800.322507175|24.752446174621582|16777216|6|2
Concurrent|2022-03-01 13:28:31|711738.7803248182|23.5721538066864|16777216|6|2
Independent|2022-03-01 13:29:19|676050.1726919084|24.816524982452393|16777216|8|2
Concurrent|2022-03-01 13:30:02|718185.9572438317|23.360545873641968|16777216|8|2
Independent|2022-03-01 13:30:51|663942.8219038164|25.269067525863647|16777216|10|2
Concurrent|2022-03-01 13:31:35|697810.9732060893|24.04263710975647|16777216|10|2
Independent|2022-03-01 13:32:29|511567.2841530217|32.79571723937988|16777216|12|2
Concurrent|2022-03-01 13:33:10|705343.850113932|23.785868406295776|16777216|12|2
Independent|2022-03-01 13:33:59|663021.2520774809|25.304190397262573|16777216|14|2
Concurrent|2022-03-01 13:34:43|697801.4308830271|24.04296588897705|16777216|14|2
Independent|2022-03-01 13:35:32|654603.2600667303|25.629594326019287|16777216|16|2
Concurrent|2022-03-01 13:36:17|694647.5829377965|24.15212607383728|16777216|16|2
Independent|2022-03-01 13:37:04|667957.6712279489|25.11718440055847|16777216|18|2
Concurrent|2022-03-01 13:37:48|693381.8392425277|24.1962149143219|16777216|18|2
Independent|2022-03-01 13:39:31|980536.4729313945|17.110241651535034|16777216|2|3
Concurrent|2022-03-01 13:40:07|1016486.0186138566|16.505112409591675|16777216|2|3
Independent|2022-03-01 13:40:45|1115491.1960250076|15.040204763412476|16777216|4|3
Concurrent|2022-03-01 13:41:19|1213455.2878695813|13.82598614692688|16777216|4|3
Independent|2022-03-01 13:42:00|897947.3513961404|18.683964014053345|16777216|6|3
Concurrent|2022-03-01 13:42:36|1087270.5078206924|15.430581331253052|16777216|6|3
Independent|2022-03-01 13:43:16|964759.9301804611|17.390042304992676|16777216|8|3
Concurrent|2022-03-01 13:43:50|1077600.474257783|15.569050312042236|16777216|8|3
Independent|2022-03-01 13:44:32|904599.9849397419|18.546557903289795|16777216|10|3
Concurrent|2022-03-01 13:45:09|971825.8712958904|17.26360297203064|16777216|10|3
Independent|2022-03-01 13:45:49|998564.7511571681|16.801330089569092|16777216|12|3
Concurrent|2022-03-01 13:46:23|1163854.8137843555|14.415213823318481|16777216|12|3
