The below is in seconds and not in ms


method|timestamp|throughput|duration(ms)|noTuples|noPartitions|noThreads
Independent|2022-02-28 18:31:37|325558.3617667504|51.533666372299194|16777216|7|3
Concurrent|2022-02-28 18:32:22|368497.5744742804|45.528701305389404|16777216|7|3


New run:


Independent|2022-02-28 18:50:58|229594.73023042834|73.07317543029785|16777216|2|2
Concurrent|2022-02-28 18:52:08|239623.4908645004|70.01490521430969|16777216|2|2
Independent|2022-02-28 18:53:48|346769.4863408797|48.381465673446655|16777216|4|2
Concurrent|2022-02-28 18:54:45|293567.24644554517|57.149481773376465|16777216|4|2
Independent|2022-02-28 18:57:05|240266.9678186956|69.82739305496216|16777216|8|2
Concurrent|2022-02-28 18:58:13|243693.89471784973|68.84545063972473|16777216|8|2
Independent|2022-02-28 19:00:48|241565.4152784898|69.45206117630005|16777216|16|2
Concurrent|2022-02-28 19:01:56|246060.22962456697|68.1833713054657|16777216|16|2
Independent|2022-02-28 19:03:53|235068.8376740703|71.37150192260742|16777216|2|4
Concurrent|2022-02-28 19:04:59|253619.0673160267|66.15124082565308|16777216|2|4
Independent|2022-02-28 19:06:57|240015.41889590834|69.90057587623596|16777216|4|4
Concurrent|2022-02-28 19:08:00|265934.2041251012|63.08784556388855|16777216|4|4
Independent|2022-02-28 19:09:54|243832.36366050947|68.8063542842865|16777216|8|4
Concurrent|2022-02-28 19:10:50|300008.78247008834|55.92241621017456|16777216|8|4
Independent|2022-02-28 19:12:28|316867.78791592474|52.947054386138916|16777216|16|4
Concurrent|2022-02-28 19:13:36|245169.45597743418|68.43110179901123|16777216|16|4
Independent|2022-02-28 19:15:24|219881.50896046887|76.30116820335388|16777216|2|8
Concurrent|2022-02-28 19:16:25|273819.39816240984|61.271100997924805|16777216|2|8
Independent|2022-02-28 19:18:20|223292.30466618104|75.13566589355469|16777216|4|8
Concurrent|2022-02-28 19:19:26|255767.37064416707|65.5956072807312|16777216|4|8
Independent|2022-02-28 19:21:27|213583.59052170557|78.55105328559875|16777216|8|8
Concurrent|2022-02-28 19:22:17|334165.1767043709|50.20635652542114|16777216|8|8
Independent|2022-02-28 19:23:41|308670.72044046666|54.35311770439148|16777216|16|8
Concurrent|2022-02-28 19:24:31|335293.62743798125|50.037384033203125|16777216|16|8
Independent|2022-02-28 19:26:35|202938.40612170286|82.67146825790405|16777216|2|16
Concurrent|2022-02-28 19:27:44|242113.016311872|69.29497742652893|16777216|2|16
