method|timestamp|throughput|duration(ms)|noTuples|noPartitions|noThreads
Independent|2022-03-08 13:31:49|1342140.1610265828|12.500345706939697|16777216|2|32
Concurrent|2022-03-08 13:32:10|1935957.2210378507|8.666108846664429|16777216|2|32
Independent|2022-03-08 13:53:57|1213991.5214309988|13.819879055023193|16777216|2|32
Concurrent|2022-03-08 13:54:36|942222.7480526525|17.805997610092163|16777216|2|32
Independent|2022-03-08 13:55:23|785992.0314339873|21.345274925231934|16777216|4|32
Concurrent|2022-03-08 13:56:04|959352.819122461|17.488056182861328|16777216|4|32
Independent|2022-03-08 13:56:51|764575.3144317932|21.943182945251465|16777216|6|32
Concurrent|2022-03-08 13:57:31|979444.3596313293|17.12932014465332|16777216|6|32
