method|timestamp|throughput|duration(ns)|noTuples|noPartitions|noThreads
Independent|2022-03-22 22:15:37|686044.28|24455004672|16777216|1|1
Concurrent|2022-03-22 22:16:29|579207.47|28965814436|16777216|1|1
Independent|2022-03-22 22:19:01|682990.93|24564331995|16777216|2|1
Concurrent|2022-03-22 22:19:38|675212.86|24847299211|16777216|2|1
Independent|2022-03-22 22:22:34|591592.67|28359405021|16777216|4|1
Concurrent|2022-03-22 22:23:15|730394.67|22970069190|16777216|4|1
Independent|2022-03-22 22:26:42|424496.01|39522670327|16777216|6|1
Concurrent|2022-03-22 22:27:44|442612.87|37904944114|16777216|6|1
Independent|2022-03-22 22:31:06|434306.09|38629935186|16777216|8|1
Concurrent|2022-03-22 22:32:10|414749.86|40451408360|16777216|8|1
Independent|2022-03-22 22:35:39|416948.72|40238080180|16777216|10|1
Concurrent|2022-03-22 22:36:43|420595.44|39889201023|16777216|10|1
Independent|2022-03-22 22:40:10|446157.7|37603779883|16777216|12|1
Concurrent|2022-03-22 22:41:14|421194.17|39832498057|16777216|12|1
Independent|2022-03-22 22:44:43|414364.23|40489054677|16777216|14|1
Concurrent|2022-03-22 22:45:44|452170.41|37103745750|16777216|14|1
Independent|2022-03-22 22:48:30|645853.42|25976816901|16777216|16|1
Concurrent|2022-03-22 22:49:18|642171.2|26125768318|16777216|16|1
Independent|2022-03-22 22:52:17|405588.25|41365143599|16777216|18|1
Concurrent|2022-03-22 22:53:23|413913.84|40533111623|16777216|18|1
Independent|2022-03-22 22:55:20|817920.66|20512033615|16777216|1|2
Concurrent|2022-03-22 22:56:02|793462.12|21144318710|16777216|1|2
Independent|2022-03-22 22:58:15|659743.87|25429892887|16777216|2|2
Concurrent|2022-03-22 22:58:58|757615.96|22144749933|16777216|2|2
Independent|2022-03-22 23:00:59|874891.36|19176342021|16777216|4|2
Concurrent|2022-03-22 23:01:36|880493.59|19054330651|16777216|4|2
Independent|2022-03-22 23:03:35|873744.72|19201507671|16777216|6|2
Concurrent|2022-03-22 23:04:05|1130889.39|14835417326|16777216|6|2
Independent|2022-03-22 23:06:14|778035.15|21563570757|16777216|8|2
Concurrent|2022-03-22 23:06:55|750053.78|22368017360|16777216|8|2
Independent|2022-03-22 23:08:55|716191.66|23425595235|16777216|10|2
Concurrent|2022-03-22 23:09:35|863484.94|19429656706|16777216|10|2
Independent|2022-03-22 23:11:31|765700.95|21910924943|16777216|12|2
Concurrent|2022-03-22 23:12:16|653776.09|25662021576|16777216|12|2
Independent|2022-03-22 23:14:16|734694.13|22835647344|16777216|14|2
Concurrent|2022-03-22 23:14:59|758533.49|22117963457|16777216|14|2
Independent|2022-03-22 23:17:13|705874.36|23767991746|16777216|16|2
Concurrent|2022-03-22 23:17:58|700699.46|23943526382|16777216|16|2
Independent|2022-03-22 23:19:59|918507.7|18265732559|16777216|18|2
Concurrent|2022-03-22 23:20:38|817455.84|20523696978|16777216|18|2
Independent|2022-03-22 23:22:11|934695.12|17949399296|16777216|1|4
Concurrent|2022-03-22 23:22:46|1063922.05|15769215488|16777216|1|4
Independent|2022-03-22 23:24:30|950195.67|17656590709|16777216|2|4
Concurrent|2022-03-22 23:25:04|1088694.75|15410394893|16777216|2|4
Independent|2022-03-22 23:26:35|1061414.86|15806464203|16777216|4|4
Concurrent|2022-03-22 23:27:09|1071688.33|15654939529|16777216|4|4
Independent|2022-03-22 23:28:37|1149784.11|14591622818|16777216|6|4
Concurrent|2022-03-22 23:29:10|1098989.57|15266037447|16777216|6|4
Independent|2022-03-22 23:30:37|1026355.91|16346391945|16777216|8|4
Concurrent|2022-03-22 23:31:05|1148965.2|14602022793|16777216|8|4
Independent|2022-03-22 23:32:28|1213267.55|13828125564|16777216|10|4
Concurrent|2022-03-22 23:32:55|1073367.28|15630452240|16777216|10|4
Independent|2022-03-22 23:34:26|1044569.31|16061371765|16777216|12|4
Concurrent|2022-03-22 23:35:00|1026301.42|16347259867|16777216|12|4
Independent|2022-03-22 23:36:30|1362770.66|12311107394|16777216|14|4
Concurrent|2022-03-22 23:36:58|1326859.38|12644306004|16777216|14|4
Independent|2022-03-22 23:38:33|1116183.48|15030876500|16777216|16|4
Concurrent|2022-03-22 23:39:05|1259234.04|13323350165|16777216|16|4
Independent|2022-03-22 23:40:37|1008622.97|16633783413|16777216|18|4
Concurrent|2022-03-22 23:41:07|1053714.32|15921977803|16777216|18|4
Independent|2022-03-22 23:42:23|1116857.83|15021800883|16777216|1|8
Concurrent|2022-03-22 23:42:55|1324278.81|12668945431|16777216|1|8
Independent|2022-03-22 23:44:17|1156074.86|14512222822|16777216|2|8
Concurrent|2022-03-22 23:44:47|1370821.76|12238801916|16777216|2|8
Independent|2022-03-22 23:46:16|1156089.35|14512040959|16777216|4|8
Concurrent|2022-03-22 23:46:49|1306714.36|12839237528|16777216|4|8
Independent|2022-03-22 23:48:12|1128812.97|14862706678|16777216|6|8
Concurrent|2022-03-22 23:48:45|1270234.44|13207968101|16777216|6|8
Independent|2022-03-22 23:50:25|1118491.85|14999855436|16777216|8|8
Concurrent|2022-03-22 23:50:59|1236880.42|13564137430|16777216|8|8
Independent|2022-03-22 23:52:22|1084507.91|15469888140|16777216|10|8
Concurrent|2022-03-22 23:52:55|1322562.31|12685387943|16777216|10|8
Independent|2022-03-22 23:54:21|1420342.96|11812088002|16777216|12|8
Concurrent|2022-03-22 23:54:43|1284081.88|13065534437|16777216|12|8
Independent|2022-03-22 23:56:10|1149249.48|14598410843|16777216|14|8
Concurrent|2022-03-22 23:56:32|1483717.64|11307553084|16777216|14|8
Independent|2022-03-22 23:57:50|1111050.78|15100314308|16777216|16|8
Concurrent|2022-03-22 23:58:20|1490270.44|11257833156|16777216|16|8
Independent|2022-03-22 23:59:47|1110578.59|15106734602|16777216|18|8
